,Unnamed: 0,months_as_customer,age,policy_number,policy_deductable,umbrella_limit,insured_zip,capital-gains,capital-loss,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,_id,policy_bind_date,policy_state,policy_csl,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,property_damage,police_report_available,auto_make,auto_model,fraud_reported
355,355,129,28,818413,1000,0,442540,0,0,23,1,2,3,44640,9920,4960,29760,330,373,2,2,1,5,6,0,1,44,2,2,0,1,1,6,367,0,0,12,9,0
356,356,86,28,613226,2000,0,439304,75800,0,19,1,0,2,70920,11820,11820,47280,345,830,1,0,1,6,13,10,4,46,2,2,1,4,5,2,667,1,1,7,36,0
357,357,110,28,435784,1000,0,461919,30400,0,20,3,0,2,65040,10840,10840,43360,357,721,2,1,1,1,7,12,2,28,0,2,1,4,1,6,941,1,0,11,19,0
358,358,162,31,386690,1000,0,456789,30700,0,7,1,0,0,3600,360,720,2520,365,369,1,0,0,5,0,5,5,49,1,1,1,2,0,0,496,0,0,2,37,1
359,359,396,57,514424,1000,0,438180,0,-22400,22,3,2,1,52560,11680,5840,35040,370,82,1,0,1,2,10,8,2,23,0,0,0,3,0,1,686,1,0,10,2,0
360,360,129,30,150181,2000,0,450730,51500,0,7,1,1,3,74360,13520,6760,54080,372,625,0,2,0,6,11,18,0,4,2,0,2,3,4,2,926,0,0,11,15,0
361,361,419,53,457244,2000,6000000,445339,45700,0,17,4,0,0,62280,5190,10380,46710,374,49,0,2,1,1,13,5,4,53,0,2,1,4,4,3,649,0,1,11,15,0
362,362,289,46,858060,2000,0,604138,0,0,18,1,0,1,56430,6270,6270,43890,383,617,0,1,1,3,1,5,4,51,2,1,1,0,0,0,514,1,1,2,0,1
363,363,157,31,121439,500,7000000,458622,40700,-41600,2,4,2,2,47700,4770,9540,33390,394,818,1,2,1,2,4,15,3,36,0,1,0,3,2,0,650,0,0,0,33,1
364,364,409,57,538466,1000,6000000,435299,55600,0,19,1,1,0,73320,6110,12220,54990,396,766,1,0,1,2,10,8,4,27,2,2,0,3,1,5,665,0,0,5,16,0
365,365,344,51,689901,2000,0,455672,0,0,14,1,0,2,82830,7530,15060,60240,403,540,1,0,1,0,11,16,2,42,2,2,1,0,0,3,99,0,0,1,5,0
366,366,269,45,596298,500,0,435552,54800,-64100,5,3,0,0,24200,2200,4400,17600,407,832,1,2,0,2,6,17,5,9,0,2,2,4,5,2,134,0,0,11,15,0
367,367,147,37,525224,1000,0,466818,0,0,22,1,1,0,81120,13520,20280,47320,421,111,1,1,1,4,9,18,2,5,2,0,2,0,4,3,644,0,0,12,9,0
368,368,143,34,847123,500,0,435100,67900,0,10,1,2,3,58500,11700,5850,40950,433,443,0,0,1,1,8,8,5,39,2,0,1,3,1,1,970,0,1,4,30,0
369,369,146,32,172307,2000,0,431278,0,0,12,1,0,3,59940,6660,6660,46620,434,309,2,0,1,0,8,16,3,58,2,1,0,1,0,5,386,0,0,6,8,0
370,370,264,43,955953,2000,0,447458,0,-8500,9,3,2,0,95150,17300,17300,60550,455,19,0,2,1,0,0,18,1,34,0,0,1,4,6,6,989,1,0,5,13,0
371,371,43,38,149467,1000,0,465764,64400,0,1,3,2,2,61650,6850,6850,47950,464,424,2,2,1,6,5,16,2,37,0,0,2,3,4,1,207,1,0,9,35,0
372,372,439,56,836272,500,0,604289,48900,-40900,9,1,2,0,50000,15000,5000,30000,484,576,2,0,1,2,1,18,3,23,2,1,1,0,0,6,738,0,0,7,36,0
373,373,4,39,498759,1000,6000000,450368,64200,0,14,3,1,3,54120,4510,9020,40590,491,943,0,0,0,2,6,15,4,4,0,0,1,0,5,3,170,1,0,7,17,0
374,374,231,43,203250,2000,0,469653,0,0,12,1,1,2,66950,10300,10300,46350,493,527,1,0,0,5,0,15,1,40,2,1,1,4,1,3,600,0,0,3,25,0
375,375,279,43,168151,2000,0,463583,0,0,13,1,0,1,57690,6410,12820,38460,257,530,2,2,1,0,6,6,2,8,2,2,0,4,4,1,778,1,0,8,7,1
376,376,242,40,118137,500,0,468702,0,-44600,5,1,1,1,7480,680,680,6120,252,330,2,0,0,2,13,3,0,19,3,1,3,4,6,6,975,1,0,10,3,0
377,377,208,36,812025,500,0,432711,0,0,16,3,1,0,50500,10100,5050,35350,256,655,0,1,1,0,2,0,2,45,0,2,2,3,4,0,541,1,1,0,33,0
378,378,35,29,818167,2000,0,475483,52100,-46900,22,3,0,0,78300,15660,7830,54810,267,838,1,2,0,3,5,18,4,47,0,1,1,1,4,6,492,0,0,2,37,0
379,379,107,26,727792,500,0,466838,62800,0,14,3,1,0,59700,11940,11940,35820,273,592,2,0,0,3,1,16,5,9,0,1,1,0,1,0,261,0,0,9,35,0
380,380,163,31,127313,1000,6000000,460359,26900,0,14,3,2,0,63910,5810,11620,46480,286,491,1,0,1,3,8,10,1,28,0,1,2,0,4,2,266,1,0,11,15,0
381,381,231,43,655787,2000,0,441981,0,-58100,15,3,2,2,77100,7710,15420,53970,296,649,0,1,1,1,10,15,5,31,0,0,1,4,3,2,616,1,1,1,4,0
382,382,256,42,860497,1000,0,460564,0,-39500,14,1,2,1,75500,7550,15100,52850,315,492,0,2,0,4,13,3,5,14,2,1,1,4,6,3,214,0,0,9,35,0
383,383,274,46,351741,1000,0,439929,0,0,22,3,1,3,90600,15100,15100,60400,316,391,2,2,1,2,3,3,1,4,0,2,2,3,6,5,549,0,0,2,37,0
384,384,1,33,162004,500,0,451184,0,0,1,3,1,0,31700,6340,3170,22190,318,906,0,1,0,2,13,19,1,10,0,1,1,4,1,3,551,0,0,12,18,0
385,385,101,26,865839,1000,0,462420,0,0,4,1,2,2,3190,580,580,2030,333,819,0,2,0,4,9,15,0,53,1,1,3,2,5,0,800,0,0,11,21,0
386,386,334,47,156694,500,0,600561,0,0,3,1,0,3,6240,960,960,4320,343,600,0,2,1,5,10,17,2,24,3,1,1,2,6,3,916,0,0,5,16,0
387,387,115,30,903785,500,0,477695,46400,0,12,3,1,0,49140,5460,5460,38220,385,836,2,2,1,2,9,0,5,42,0,0,1,1,1,3,66,0,1,5,14,0
388,388,84,29,630998,1000,0,473645,0,-29900,6,1,2,0,6820,620,1240,4960,411,568,2,1,0,2,6,18,1,34,1,1,3,4,4,0,294,1,1,2,0,0
389,389,247,44,926665,2000,0,619108,64000,0,22,3,2,2,69480,11580,11580,46320,412,395,2,1,0,1,4,4,1,33,0,0,1,1,1,5,991,0,0,3,34,0
390,390,210,39,620020,1000,0,474998,0,0,4,1,1,2,7800,780,780,6240,414,667,2,2,1,0,1,13,4,11,3,1,1,2,0,5,401,1,0,4,30,0
391,391,277,44,936543,500,0,620737,0,0,6,1,1,3,5000,1000,500,3500,418,680,1,2,1,2,8,2,4,31,3,1,3,4,0,5,507,0,0,7,36,0
392,392,208,41,501692,1000,0,464145,0,0,18,1,2,2,69300,6930,13860,48510,420,676,1,0,0,1,12,5,0,12,2,1,0,0,4,3,329,0,0,13,20,0
393,393,91,31,268833,1000,4000000,431937,63600,0,19,1,1,0,60570,6730,6730,47110,427,904,1,0,0,2,8,14,3,48,2,2,1,4,0,2,704,0,0,9,26,0
394,394,310,48,439660,1000,0,434342,0,0,21,1,1,0,55170,6130,6130,42910,432,717,2,0,0,5,8,0,2,48,2,0,0,4,0,3,678,1,0,1,5,1
395,395,102,28,810189,500,0,445648,55200,0,6,1,1,0,73400,7340,7340,58720,435,849,2,1,1,4,6,15,5,37,2,2,2,4,3,3,793,0,0,4,27,0
396,396,108,31,492224,2000,0,608767,0,0,14,1,0,2,57330,6370,6370,44590,440,322,1,2,1,5,10,19,1,41,2,1,2,1,1,1,505,0,0,4,27,0
397,397,303,50,411477,500,0,620869,54600,-45500,17,3,0,3,81960,13660,13660,54640,441,282,2,0,1,4,12,2,3,5,0,0,2,3,6,2,328,0,0,4,27,0
398,398,414,52,373935,500,0,452647,44000,-71000,13,1,1,1,54810,6090,6090,42630,445,341,1,2,0,2,4,5,4,28,2,1,2,4,4,3,298,1,0,3,32,1
399,399,101,33,552788,1000,0,438617,12100,0,3,1,1,0,4290,780,390,3120,452,938,0,2,0,1,8,2,4,32,1,1,3,2,1,2,724,1,0,1,4,0
400,400,360,51,484321,1000,0,434669,0,-62400,15,3,2,0,90480,15080,15080,60320,472,715,0,1,1,6,1,10,1,54,0,2,2,0,6,5,749,0,1,2,38,0
401,401,146,36,792673,2000,0,606177,34500,-60600,16,3,1,1,55900,5590,5590,44720,475,499,2,2,0,5,7,9,2,54,0,2,2,4,0,2,269,0,0,9,35,0
402,402,195,36,842618,2000,0,611852,57800,-53300,14,3,2,3,68970,12540,6270,50160,269,225,1,0,0,0,6,4,5,48,0,0,2,1,4,2,309,1,1,3,34,0
403,403,20,23,935596,1000,0,463678,0,0,21,3,2,2,63250,5750,11500,46000,254,570,2,2,0,3,12,0,5,4,0,1,0,1,4,4,203,0,0,3,34,1
404,404,461,57,737593,500,7000000,615220,0,0,7,3,0,1,59040,9840,9840,39360,255,262,0,0,0,2,4,9,3,5,0,2,0,0,1,2,472,0,0,4,30,0
405,405,156,31,475588,2000,0,446895,0,0,3,1,2,0,59000,5900,5900,47200,261,918,0,0,1,6,7,15,0,56,2,0,0,4,0,0,534,0,0,5,16,1
406,406,394,57,395572,500,0,619892,51500,0,9,1,1,0,6890,1060,1060,4770,265,469,0,1,0,2,2,12,3,17,3,1,3,4,0,2,611,0,0,1,5,0
407,407,243,43,367595,500,0,466137,0,-75700,10,3,0,1,37530,4170,4170,29190,275,393,1,2,0,0,6,2,3,20,0,0,0,0,4,5,605,0,0,7,36,0
408,408,264,41,424862,500,0,474801,55600,0,4,1,1,0,60390,10980,5490,43920,277,98,2,0,1,6,9,6,4,57,2,1,1,3,3,4,353,0,0,2,22,1
409,409,32,38,356768,500,6000000,478172,0,0,15,3,2,1,70900,14180,7090,49630,279,423,0,0,0,1,7,17,3,55,0,2,1,4,4,3,715,1,1,2,38,0
410,410,436,58,987905,2000,5000000,475705,47400,-27600,10,1,0,2,59900,11980,5990,41930,283,549,2,1,1,6,12,17,2,1,2,1,0,4,6,5,290,0,0,2,37,1
411,411,189,36,967756,2000,0,459122,0,-49400,17,3,1,3,79560,13260,13260,53040,284,543,2,1,0,4,8,1,3,35,0,2,0,4,6,5,171,0,1,5,13,0
412,412,105,33,830414,500,0,476737,0,-40900,8,1,0,1,70290,12780,6390,51120,285,790,0,2,0,2,0,11,1,39,2,0,2,3,5,4,928,1,0,0,23,0
413,413,156,37,384618,500,0,608331,0,-51800,16,4,1,2,53400,5340,5340,42720,294,410,1,1,1,2,3,9,4,7,0,1,1,4,0,1,688,0,1,6,10,1
414,414,123,31,756459,500,0,438546,0,-54600,13,1,1,2,72120,12020,12020,48080,295,866,1,1,0,0,9,1,5,39,2,2,2,1,4,4,209,0,0,8,24,0
415,415,253,41,261315,2000,0,471453,81300,0,10,3,2,2,80740,7340,14680,58720,310,496,2,0,0,6,11,7,2,0,0,1,0,3,4,6,410,0,1,12,9,1
416,416,436,59,153154,1000,0,430380,39000,0,10,3,2,2,68000,13600,6800,47600,313,829,2,2,1,6,10,2,3,3,0,2,2,4,6,2,590,0,0,12,11,0
417,417,212,35,620855,2000,0,468313,35400,-49200,0,3,1,3,50380,4580,4580,41220,339,545,1,2,1,4,8,18,4,13,0,0,2,1,1,1,350,0,0,11,15,0
418,418,66,26,445973,1000,0,476502,0,0,8,1,2,2,57860,0,10520,47340,342,165,0,1,1,1,1,16,3,42,2,1,0,4,1,3,810,0,1,11,19,1
419,419,257,43,553565,2000,6000000,618632,46400,-74300,12,1,2,2,63240,10540,5270,47430,347,358,1,2,0,6,5,0,0,5,2,0,2,3,5,0,316,0,1,8,12,0
420,420,15,34,399524,1000,0,452204,56700,0,21,3,1,0,67650,12300,6150,49200,348,141,0,0,1,3,12,6,1,52,0,2,2,3,4,0,35,1,0,1,5,0
421,421,150,30,354481,1000,0,608425,0,0,8,1,0,2,4500,450,450,3600,362,180,1,0,1,4,9,14,3,51,1,1,3,2,5,0,587,1,0,10,2,0
422,422,72,29,745200,500,0,479913,0,-85900,9,1,1,0,66200,6620,6620,52960,376,870,2,2,0,0,2,8,3,7,2,1,0,0,6,0,910,0,0,4,27,0
423,423,157,32,347984,2000,0,436711,0,-54100,14,3,1,2,50800,10160,5080,35560,379,116,2,0,1,1,7,15,2,11,0,0,0,3,5,1,634,0,0,8,12,1
424,424,208,36,467106,2000,5000000,476185,0,0,15,3,0,1,62810,11420,11420,39970,388,150,2,0,1,3,6,0,5,38,0,2,2,3,1,1,640,1,0,9,35,0
425,425,160,36,876680,1000,0,460801,0,-36600,5,3,2,1,51700,5170,10340,36190,392,574,2,0,0,2,9,2,0,14,0,1,2,1,1,1,701,0,0,10,3,0
426,426,261,46,348814,1000,0,478703,0,0,11,1,1,0,59670,9180,9180,41310,401,922,0,2,1,4,13,0,3,34,2,0,2,1,1,1,464,1,0,5,13,0
427,427,280,41,682178,2000,0,473243,29300,-64700,10,3,0,3,53020,9640,9640,33740,406,259,2,2,1,4,0,8,0,51,0,1,1,4,6,0,559,0,1,12,11,0
428,428,56,29,302669,1000,0,610479,0,0,10,3,1,2,94560,7880,15760,70920,413,688,0,0,1,5,9,12,3,44,0,0,0,1,3,3,160,0,1,7,17,0
429,429,264,47,687639,2000,10000000,601117,0,-67400,16,4,1,2,62370,5670,5670,51030,430,482,1,1,0,3,13,17,2,34,0,0,2,0,2,0,74,1,1,4,27,0
430,430,61,23,432068,500,0,448857,54600,0,6,1,1,2,41850,4650,4650,32550,436,489,0,0,1,3,3,3,2,48,2,2,0,1,3,5,187,0,0,11,21,0
431,431,255,44,903203,2000,6000000,435267,68500,0,7,1,2,2,6400,640,1280,4480,437,54,2,2,0,6,8,5,1,54,1,1,3,4,0,2,189,0,0,8,24,1
432,432,211,40,253085,1000,0,461275,0,0,3,1,1,1,3190,580,290,2320,438,534,0,2,0,6,7,17,3,3,3,1,3,4,6,4,987,0,0,1,5,0
433,433,152,33,107181,500,0,478981,0,0,16,1,0,0,70400,6400,19200,44800,442,168,1,1,0,6,13,8,5,23,2,2,0,1,4,2,326,1,0,11,21,1
434,434,126,30,248467,2000,0,472163,46500,-42700,23,1,2,3,48730,4430,4430,39870,454,148,0,1,0,0,6,2,1,24,2,2,1,3,1,3,263,0,0,3,25,0
435,435,271,44,247801,500,0,600153,0,0,16,1,2,2,76230,6930,13860,55440,460,441,2,1,0,2,12,0,2,36,2,1,1,3,4,5,963,0,0,13,28,1
436,436,411,56,574637,1000,0,479320,0,0,23,3,0,0,38610,3510,3510,31590,467,771,0,1,0,1,10,8,2,27,0,2,0,0,5,6,794,0,0,13,28,0
437,437,380,56,971338,1000,0,454685,66000,0,10,1,0,1,58160,7270,7270,43620,477,221,2,0,1,4,4,6,2,26,2,2,2,4,5,3,238,0,1,10,3,1
438,438,294,46,735307,500,0,473935,0,0,8,1,0,3,65780,11960,11960,41860,488,662,0,0,1,1,9,8,3,46,2,2,2,3,4,3,652,0,1,8,24,0
439,439,261,46,156636,1000,0,465631,0,-49400,19,1,0,3,80280,13380,13380,53520,495,885,1,0,1,6,9,4,4,19,2,1,1,3,4,6,55,0,0,3,34,0
440,440,405,58,445289,500,0,462683,0,-46900,11,1,0,0,63580,5780,5780,52020,498,532,0,1,1,4,3,8,1,4,2,0,0,4,1,0,121,0,0,8,24,1
441,441,84,30,942504,2000,0,457551,44400,-51500,9,1,1,0,57640,5240,10480,41920,264,646,0,2,0,4,10,11,5,23,2,2,1,4,4,3,242,0,1,13,28,0
442,442,271,40,873114,1000,0,433683,71200,0,6,1,0,0,3080,560,280,2240,271,315,0,0,0,0,7,4,5,41,1,1,1,2,1,2,37,0,0,1,4,0
443,443,59,40,444422,2000,0,449221,64200,-32300,0,3,0,2,51570,5730,11460,34380,291,933,0,1,1,1,10,9,2,55,0,0,2,0,2,6,626,0,0,2,37,0
444,444,247,39,419954,500,0,602177,0,0,3,1,2,3,3300,600,0,2700,297,314,0,0,0,1,5,7,5,48,1,1,3,4,4,3,478,0,0,4,30,0
445,445,107,31,714929,2000,5000000,469646,20000,-82700,21,3,1,2,93730,14420,21630,57680,301,199,0,0,1,0,5,19,3,19,0,2,2,4,1,5,836,1,0,6,8,0
446,446,286,47,615047,500,0,457130,54100,-77600,15,3,0,0,65800,13160,6580,46060,304,189,1,1,1,2,8,3,0,8,0,1,1,3,1,6,808,1,0,0,33,0
447,447,10,26,582973,2000,0,466191,0,-22200,3,3,0,3,31350,2850,5700,22800,311,637,1,0,1,4,11,0,1,38,0,0,0,0,4,4,673,0,0,6,6,1
448,448,257,40,414913,500,0,608228,0,0,6,3,0,2,51810,9420,4710,37680,328,737,1,1,1,4,1,0,0,31,0,2,0,3,1,1,335,0,1,1,4,1
449,449,120,30,563878,500,0,438237,39600,-64300,20,1,1,1,87100,8710,8710,69680,338,731,1,1,0,0,8,12,0,55,2,0,1,3,1,2,654,0,1,10,1,0
450,450,299,42,337677,2000,0,450339,25000,0,13,1,1,3,70400,12800,12800,44800,341,745,2,0,0,0,2,12,5,47,2,1,1,3,4,1,4,1,0,2,0,0
451,451,292,44,200827,500,0,462836,0,0,12,1,1,0,61700,6170,6170,49360,359,383,2,2,1,6,8,1,4,51,2,2,2,3,4,1,377,0,1,10,2,0
452,452,61,24,265026,500,0,473611,47400,0,15,3,2,1,65520,9360,9360,46800,361,408,1,0,0,1,8,13,2,3,0,1,0,0,4,3,211,1,0,12,18,1
453,453,283,41,566720,500,0,476227,60700,-54300,13,3,0,2,42700,0,6100,36600,363,124,2,0,0,0,11,15,3,29,0,2,0,3,6,3,60,0,0,8,24,1
454,454,309,47,369048,500,0,611322,69400,0,15,4,0,1,77800,15560,15560,46680,369,699,0,2,1,6,3,10,2,44,0,1,0,3,6,3,351,1,0,4,30,0
455,455,265,41,626074,2000,6000000,432491,81800,0,18,3,1,3,44200,4420,4420,35360,380,934,1,1,0,0,2,17,3,4,0,2,2,4,4,3,110,0,0,1,5,0
456,456,47,34,218109,500,0,617527,64800,-24300,23,1,1,3,62920,11440,5720,45760,381,297,0,2,0,6,3,0,2,28,2,0,1,4,4,6,80,1,0,3,25,0
457,457,113,29,999435,2000,0,601213,36100,-42300,15,3,0,2,49950,5550,5550,38850,382,1,2,1,1,6,3,9,1,26,0,1,1,3,1,6,606,0,1,9,35,1
458,458,254,41,500384,2000,0,431361,0,0,16,1,2,2,100210,18220,18220,63770,384,261,0,1,0,5,10,2,3,25,2,0,1,4,1,5,17,0,1,1,5,0
459,459,283,43,631565,2000,0,457722,0,-50400,9,1,0,3,5850,1300,650,3900,410,722,1,0,0,0,0,14,1,8,1,1,1,2,6,4,51,0,0,2,22,0
460,460,150,31,651948,1000,0,456602,52800,0,6,3,0,3,64800,6480,12960,45360,424,931,1,2,1,5,6,0,0,11,0,0,0,0,1,0,656,0,1,11,15,1
461,461,352,53,993840,500,0,619166,0,0,23,1,2,2,68750,12500,6250,50000,447,720,0,1,1,0,12,8,5,6,2,0,1,1,0,5,938,1,0,3,25,0
462,462,239,39,506333,500,0,442308,0,0,0,4,0,3,76890,6990,13980,55920,449,668,0,0,0,5,7,15,0,27,0,1,0,0,6,3,560,0,0,2,38,0
463,463,123,28,137675,2000,0,470559,38000,-41200,5,1,2,1,79800,13300,6650,59850,457,294,0,0,1,5,13,12,3,0,2,2,0,0,0,5,371,0,1,13,28,1
464,464,163,38,413192,2000,0,607605,51700,0,13,1,2,3,79500,15900,7950,55650,459,112,1,2,0,6,7,19,2,44,2,2,1,0,1,2,325,1,0,0,23,0
465,465,460,57,396590,2000,0,602514,62500,0,10,1,2,3,58300,5830,11660,40810,470,229,2,0,0,3,2,16,0,37,2,0,0,3,1,5,542,0,0,9,26,1
466,466,195,38,238412,2000,6000000,477356,38000,-50300,12,3,1,2,64620,7180,0,57440,471,588,0,2,1,4,12,18,4,36,0,0,1,0,6,6,109,1,0,4,27,0
467,467,245,42,218456,1000,7000000,614265,0,-68900,19,1,2,2,6490,590,1180,4720,474,731,0,2,1,3,3,5,2,43,1,1,1,4,3,6,965,0,0,12,9,1
468,468,20,21,918037,1000,0,479408,0,-41200,14,1,0,0,62900,12580,6290,44030,481,57,2,1,0,5,8,14,2,5,2,1,1,1,3,4,540,0,0,0,23,0
469,469,304,49,599262,1000,0,463184,0,0,2,1,1,1,73370,13340,6670,53360,499,925,1,0,0,6,2,4,3,13,2,2,1,3,0,3,902,1,1,10,3,0
470,470,88,25,332892,1000,0,613583,0,0,6,1,1,2,66780,7420,7420,51940,288,123,1,1,0,3,5,12,0,35,2,1,0,0,4,4,337,1,1,5,13,1
471,471,284,42,526039,500,-1000000,438178,0,0,13,1,0,1,94160,8560,17120,68480,290,618,2,0,1,0,6,11,5,21,2,2,0,0,0,0,333,1,0,3,25,0
472,472,119,27,515698,2000,0,614812,27100,0,16,2,1,0,63720,7080,21240,35400,299,865,1,1,1,2,13,18,2,55,0,1,0,3,3,3,10,0,0,0,33,0
473,473,267,40,426708,500,5000000,465158,0,-35200,5,1,0,2,5670,1260,630,3780,303,153,0,1,1,3,13,4,5,16,1,1,3,4,1,1,228,0,0,5,14,0
474,474,111,29,235869,500,2000000,464736,0,0,1,1,1,1,52800,4800,9600,38400,306,30,0,1,0,6,4,11,3,30,2,2,0,1,4,5,135,0,1,8,24,1
475,475,165,36,427199,2000,0,464336,0,-39700,20,3,2,2,45700,4570,4570,36560,309,79,0,1,1,5,1,9,0,5,0,2,2,1,1,3,158,0,0,2,0,0
476,476,158,33,278091,2000,0,440930,0,-38600,0,1,0,0,35000,3500,7000,24500,312,302,2,0,0,0,5,16,2,25,2,2,2,3,4,2,769,0,0,11,21,0
477,477,276,47,803294,1000,0,615712,0,0,23,3,0,0,65780,5980,11960,47840,327,652,1,0,1,6,2,19,3,3,0,1,1,4,1,0,881,1,0,3,34,0
478,478,78,31,414519,1000,4000000,457535,0,-27900,21,1,1,0,55660,5060,10120,40480,329,37,1,1,1,6,10,2,3,52,2,0,0,3,6,6,50,0,0,6,8,1
479,479,85,25,159768,500,0,439534,67000,-53600,8,1,2,2,5640,940,940,3760,332,939,1,1,0,3,12,0,4,38,1,1,3,2,4,3,729,0,0,9,35,0
480,480,96,30,406567,500,6000000,448913,38900,-48700,22,1,0,0,53440,0,6680,46760,334,925,2,0,1,1,9,10,5,47,2,2,2,1,0,0,942,0,1,5,13,0
481,481,159,37,106873,1000,0,446435,0,-53700,13,1,2,0,70290,7810,7810,54670,337,846,0,2,1,0,12,4,5,28,2,1,2,4,1,6,150,1,0,4,30,0
482,482,429,56,804410,1000,6000000,460722,67400,-43800,0,1,2,0,39480,6580,6580,26320,346,246,2,1,1,0,6,16,3,20,2,1,1,0,6,6,512,1,1,11,15,0
483,483,230,39,331595,1000,7000000,454530,68600,-22300,0,1,1,3,74200,14840,14840,44520,349,210,0,0,0,4,2,3,4,39,2,0,0,1,4,5,718,0,0,0,33,1
484,484,250,43,380067,1000,0,474848,47900,-73400,22,1,1,3,64900,12980,12980,38940,350,788,2,2,0,3,12,14,3,23,2,2,1,3,5,1,525,1,0,13,20,0
485,485,229,37,340614,2000,0,446544,65600,0,14,3,1,1,68760,11460,5730,51570,356,633,0,1,0,4,2,13,1,21,0,2,0,3,6,1,839,1,1,5,16,0
486,486,154,36,979285,2000,7000000,600904,68500,0,9,1,2,0,2800,280,280,2240,366,258,0,1,0,5,3,7,3,52,3,1,3,2,4,4,873,0,0,13,28,0
487,487,236,38,873859,1000,0,612597,0,-62500,16,1,0,1,66840,16710,5570,44560,386,94,2,1,0,1,7,13,1,46,2,2,0,0,6,4,878,0,0,8,12,0
488,488,406,58,756981,2000,0,605121,0,-42700,15,3,1,2,65520,10920,5460,49140,393,113,2,1,1,4,3,18,3,0,0,0,2,3,6,3,736,0,0,13,20,0
489,489,146,31,411289,2000,0,478661,61400,-57500,3,1,2,0,5220,580,580,4060,395,897,2,1,0,6,6,18,1,6,3,1,1,2,4,3,356,1,0,0,23,0
490,490,252,46,932097,1000,0,601961,0,-28800,17,1,0,2,74900,14980,7490,52430,397,946,1,0,1,5,0,7,5,57,2,0,1,1,5,2,596,1,1,7,17,0
491,491,6,27,463727,500,0,604328,0,-47400,7,1,0,1,3190,580,290,2320,398,862,2,1,0,2,9,7,4,39,3,1,3,4,6,1,744,0,1,10,3,0
492,492,65,30,396224,500,4000000,616706,0,-66300,6,3,2,3,79800,15960,7980,55860,405,950,1,0,0,1,13,16,5,37,0,2,2,1,6,2,234,0,0,6,10,0
493,493,8,21,355085,500,0,464237,0,0,21,1,0,0,91260,14040,14040,63180,422,154,1,2,1,2,5,10,0,54,2,0,0,3,6,1,568,0,0,12,11,0
494,494,163,37,812989,500,6000000,441370,0,-67300,20,1,2,3,49400,4940,9880,34580,446,479,1,1,0,3,8,7,3,7,2,1,2,1,1,6,707,1,1,7,36,0
495,495,27,32,327856,500,0,472803,37900,0,11,1,1,0,61500,12300,6150,43050,448,844,2,0,0,6,0,19,2,31,2,0,2,0,4,0,362,0,0,4,27,0
496,496,218,41,461962,500,0,444155,37900,-72900,14,3,2,0,84590,15380,7690,61520,463,283,0,0,1,3,9,9,5,14,0,2,2,4,1,6,82,0,0,10,2,0
497,497,67,29,662256,1000,0,461514,60400,-67800,16,1,0,3,63800,6380,6380,51040,476,164,0,1,1,2,0,14,0,6,2,1,0,3,4,1,752,0,1,10,1,1
498,498,222,40,373731,1000,0,468433,49600,-49200,17,2,2,0,81500,16300,8150,57050,483,279,0,0,1,3,1,4,4,14,0,1,1,3,1,6,396,1,0,2,0,0
499,499,128,29,743330,1000,0,450746,0,-76000,2,1,0,0,59070,5370,5370,48330,486,222,2,2,1,2,7,9,0,43,2,1,2,1,5,5,917,0,0,3,25,0
500,500,202,38,320251,2000,0,616120,0,-37500,12,1,1,1,77440,7040,14080,56320,502,35,0,0,0,0,1,8,0,53,2,2,0,3,6,2,677,1,0,9,35,0
501,501,83,24,265093,1000,0,462106,0,0,0,3,0,1,61600,6160,12320,43120,508,0,1,2,0,2,6,2,4,43,0,0,2,1,1,0,922,0,0,6,8,0
502,502,194,34,445694,1000,0,464743,0,0,11,1,2,1,58800,11760,5880,41160,512,602,0,1,1,3,7,10,1,16,2,1,2,0,6,3,394,0,1,9,29,0
503,503,479,60,232854,2000,0,473638,0,0,18,1,0,0,60600,5050,10100,45450,514,787,0,0,0,1,7,6,0,30,2,1,2,0,1,0,338,0,0,6,10,0
504,504,196,41,246435,2000,0,441499,0,-78600,0,3,1,0,47800,4780,4780,38240,518,780,0,1,1,3,10,4,2,5,0,1,1,0,4,2,210,0,0,7,17,0
505,505,220,42,726880,1000,0,619811,33500,-49500,20,4,0,2,47740,4340,4340,39060,522,875,1,0,1,1,4,10,2,35,0,1,1,1,4,3,911,0,1,6,10,0
506,506,85,30,190588,1000,0,614166,72400,-77000,9,3,2,1,58960,5360,10720,42880,523,321,2,0,0,4,2,18,3,43,0,1,2,1,4,3,141,1,1,5,14,0
507,507,169,38,283052,1000,0,459878,23300,0,12,3,1,3,79080,6590,13180,59310,532,69,0,0,1,6,2,16,3,17,0,0,2,3,5,5,275,0,1,8,7,0
508,508,440,55,379882,500,0,602258,0,-56200,18,3,2,1,61400,6140,6140,49120,537,231,0,1,0,0,8,15,2,15,0,2,1,4,1,5,219,1,0,9,35,0
509,509,101,29,788502,500,0,620197,30000,-53000,0,3,2,1,67210,12220,12220,42770,549,860,2,1,1,6,1,7,3,51,0,1,1,0,4,0,802,0,0,2,38,0
